sgRNA	Gene	plasmid	ESC1
chr2:178413933-178413956	PPP1R3D	242.96624362004212	224.04527898850498
chr2:164431229-164431252	SDC4	84.46873313353026	93.53346598549237
chr7:81974959-81974982	BNC1	235.3735485069158	267.5492166561758
chr10:75928407-75928430	MMP11	106.29773158376842	84.83267845195819
chr2:32337879-32337902	DNM1	92.06142824665659	100.05905663564299
chr13:100781623-100781646	CCNB1	208.7991156109737	58.73031585135567
chr15:69017414-69017437	KHDRBS3	55.99612645930658	192.50492417944358
chr7:103906816-103906839	OLFR65	148.05755470596316	89.18307221872527
chr2:127541100-127541123	PROM2	28.472606674223687	21.751968833835434
chr11:43201146-43201169	ATP10B	81.6214724661079	31.540354809061377
chr7:86321664-86321687	OLFR308	757.37133753435	915.7578879044718
chr7:144508139-144508162	PPFIA1	20.87991156109737	27.189961042294293
chr11:100421212-100421235	FKBP10	19.93082467195658	22.839567275527205
chr16:32367360-32367383	UBXN7	134.7703382579921	39.15354390090378
chr9:15308780-15308803	TAF1D	368.24571298662636	271.89961042294294
chr11:100420516-100420539	FKBP10	37.01438867649079	17.401575067068347
chr17:74528704-74528727	BIRC6	77.82512490954474	20.664370392143663
chr11:20094381-20094404	ACTR2	69.28334290727764	40.24114234259555
chr6:85952324-85952347	DUSP11	149.00664159510396	220.78248366342964
chr16:97751529-97751552	RIPK4	113.89042669689475	227.30807431358028
chr13:30906524-30906547	EXOC2	132.87216447971053	216.43208989666257
chr9:62273021-62273044	SPESP1	299.9114569684895	244.7096493806486
chr7:103604002-103604025	OLFR619	129.07581692314739	271.89961042294294
chr7:17093659-17093682	PSG16	181.2755958258908	132.68700988639614
chr6:52729419-52729442	TAX1BP1	228.72994028293027	208.81890080482015
chr1:139328249-139328272	CRB1	95.85777580321974	79.39468624349934
chr14:14120135-14120158	PSMD6	26.574432895942106	15.226378183684803
chr17:47820885-47820908	MDFI	113.89042669689475	70.69389870996515
chr4:129656342-129656365	KPNA6	151.85390226252633	140.30019897823854
chr11:101094947-101094970	PSMC3IP	157.54842359737106	172.9281522289917
chr18:7443993-7444016	MPP7	70.23242979641843	8.700787533534173
chr3:41682331-41682354	SCLT1	103.45047091634606	137.03740365316324
chrX:8421530-8421553	SSXB1	381.5329294345974	394.7982343341131
chr17:70996241-70996264	MYL12A	196.46098605214343	190.32972729606004
chr17:69387742-69387765	ZFP161	93.01051513579738	160.9645693703822
chr4:126180256-126180279	THRAP3	30.370780452505265	0.0
chr2:86677185-86677208	OLFR1086	226.8317665046487	233.8336649637309
chr11:118513229-118513252	RBFOX3	37.01438867649079	38.06594545921201
chr1:3670935-3670958	XKR4	26.574432895942106	1.0875984416917717
chr19:8820709-8820732	HNRNPUL2	46.50525756789869	84.83267845195819
chr3:55117336-55117359	SPG20	92.06142824665659	52.20472520120504
chr5:52368139-52368162	SOD3	23.727172228519738	35.89074857582847
chr2:152479453-152479476	DEFB20	261.9479814028579	352.381895108134
chr9:64160885-64160908	ZWILCH	86.36690691181185	64.16830805981454
chr11:118394087-118394110	LGALS3BP	147.10846781682238	299.0895714652372
chr6:103691597-103691620	CHL1	225.8826796155079	368.6958717335106
chr17:74618508-74618531	BIRC6	97.75594958150133	103.3218519607183
chr2:143749166-143749189	PCSK2	119.58494803173949	122.8986239111702
chr7:133691117-133691140	UROS	60.74156090501053	39.15354390090378
chr13:100127858-100127881	SMN1	135.7194251471329	213.16929457158724
chr1:181198901-181198924	WDR26	160.39568426479343	151.17618339515627
chr6:13078154-13078177	TMEM106B	244.8644173983237	369.78347017520235
chr15:98168584-98168607	AI836003	45.556170678757894	177.27854599575878
chr10:108631860-108631883	SYT1	210.69728938925527	442.6525657685511
chr19:10532842-10532865	CPSF7	90.163254468375	65.2559065015063
chr8:19749429-19749452	4930467E23RIK	280.9297191856737	264.28642133110054
chr2:121414152-121414175	PDIA3	10.439955780548685	17.401575067068347
chr5:121637373-121637396	ACAD10	135.7194251471329	97.88385975225945
chr6:78467850-78467873	REG3G	160.39568426479343	255.58563379756635
chr7:103906542-103906565	OLFR65	86.36690691181185	64.16830805981454
chr7:43408950-43408973	SIGLECG	28.472606674223687	97.88385975225945
chrX:155332436-155332459	PRDX4	141.41394648197763	251.23524003079925
chr11:59208565-59208588	2310033P09RIK	92.06142824665659	70.69389870996515
chr6:78467810-78467833	REG3G	73.07969046384079	78.30708780180755
chr7:127020129-127020152	PRRT2	99.6541233597829	168.5777584622246
chr15:98931975-98931998	TUBA1B	74.97786424212238	43.50393766767087
chr5:100791775-100791798	HELQ	155.65024981908948	101.14665507733477
chrX:167489709-167489732	FRMPD4	89.21416757923421	69.60630026827339
chr1:65117120-65117143	D630023F18RIK	74.97786424212238	190.32972729606004
chr15:82343640-82343663	FAM109B	134.7703382579921	144.65059274500564
chr3:67384654-67384677	MLF1	407.1582754413987	600.3543398138579
chr12:112497328-112497351	A530016L24RIK	114.83951358603554	150.08858495346448
chr3:96652856-96652879	ITGA10	166.09020559963818	215.34449145497078
chrX:57391339-57391362	RBMX	254.3552862897316	319.7539418573809
chr2:150688780-150688803	VSX1	423.29275255679215	689.5374120325832
chr12:112496883-112496906	A530016L24RIK	154.7011629299487	204.46850703805308
chr11:105976576-105976599	ACE	225.8826796155079	268.6368150978676
chr2:88864984-88865007	OLFR1206	94.90868891407895	85.92027689364996
chr9:107549154-107549177	ZMYND10	103.45047091634606	116.37303326101957
chr3:58545259-58545282	EIF2A	78.77421179868553	11.963582858609488
chr19:13619483-13619506	OLFR1487	212.59546316753685	272.9872088646347
chr2:87508699-87508722	PRAMEL6	261.9479814028579	317.57874497399735
chr5:3662011-3662034	4930511M11RIK	114.83951358603554	55.46752052628035
chr7:14121747-14121770	SULT2A3	82.57055935524869	42.416339225979094
chr3:94886614-94886637	PSMB4	31.319867341646056	4.350393766767087
chr8:105476624-105476647	ZDHHC1	81.6214724661079	45.67913455105441
chr8:43183692-43183715	TRIML2	188.86829093901713	152.26378183684804
chr11:69362208-69362231	CHD3	37.96347556563158	96.79626131056767
chr12:24680716-24680739	CYS1	12.338129558830264	29.365157925677835
chr2:180974061-180974084	ARFGAP1	192.66463849558028	139.21260053654677
chr7:103051763-103051786	OLFR583	88.26508069009343	122.8986239111702
chr2:167307629-167307652	B4GALT5	121.48312181002106	112.02263949425249
chr4:144703852-144703875	GM13178	50.301605124461844	41.32874078428733
chr4:14769719-14769742	LRRC69	173.68290071276448	160.9645693703822
chr19:10965840-10965863	MS4A10	156.59933670823028	79.39468624349934
chr1:180094083-180094106	CDC42BPA	48.40343134618027	69.60630026827339
chr7:132837177-132837200	METTL10	367.29662609748556	405.6742187510308
chr2:180974060-180974083	ARFGAP1	47.454344457039475	135.94980521147147
chr11:115623973-115623996	SLC25A19	279.0315454073921	213.16929457158724
chr18:80973459-80973482	SALL3	128.12673003400658	194.68012106282714
chr1:135918809-135918832	PKP1	64.53790846157369	78.30708780180755
chr2:3361637-3361660	OLAH	61.69064779415132	39.15354390090378
chr9:86573019-86573042	RWDD2A	128.12673003400658	158.78937248699867
chr17:46686581-46686604	PPP2R5D	129.07581692314739	87.00787533534174
chr6:103649612-103649635	CHL1	93.95960202493816	81.56988312688287
chr16:36620904-36620927	CD86	159.44659737565263	539.4488270791187
chr12:11250836-11250859	GEN1	94.90868891407895	135.94980521147147
chr5:138456000-138456023	ZFP157	179.37742204760923	448.09055797700995
chr2:85984276-85984299	OLFR1030	182.22468271503158	38.06594545921201
chr13:49618195-49618218	OGN	142.36303337111843	149.0009865117727
chr2:132089183-132089206	SLC23A2	155.65024981908948	190.32972729606004
chr19:25677838-25677861	DMRT2	70.23242979641843	88.0954737770335
chrX:134586094-134586117	RPL36A	107.24681847290921	7.6131890918424014
chr15:77392761-77392784	APOL7A	235.3735485069158	290.388783931703
chr4:117880923-117880946	B4GALT2	87.31599380095264	100.05905663564299
chr2:33174428-33174451	RALGPS1	83.51964624438948	61.993111176430986
chrX:141613597-141613620	COL4A5	149.00664159510396	296.9143745818537
chr9:57420243-57420266	PPCDC	72.1306035747	123.98622235286197
chr14:37131574-37131597	GHITM	125.27946936658422	127.24901767793729
chr18:24622184-24622207	ELP2	160.39568426479343	135.94980521147147
chr1:87917975-87917998	DGKD	99.6541233597829	83.74508001026642
chr12:72902445-72902468	4930447C04RIK	95.85777580321974	132.68700988639614
chr2:154204755-154204778	BPIFB1	86.36690691181185	48.94192987612973
chr6:122850617-122850640	C3AR1	139.51577270369606	102.23425351902654
chr14:14116901-14116924	PSMD6	63.5888215724329	2.1751968833835433
chr17:56113987-56114010	PLIN5	117.6867742534579	81.56988312688287
chr7:10102410-10102433	VMN2R51	251.50802562230922	327.3671309492233
chr11:83429283-83429306	GAS2L2	33.21804111992763	40.24114234259555
chr13:84284060-84284083	TMEM161B	80.67238557696712	11.963582858609488
chr11:23414788-23414811	USP34	202.15550738698818	73.95669403504047
chr5:121646690-121646713	ACAD10	194.56281227386185	169.66535690391638
chr3:51677587-51677610	MGST2	223.98450583722632	177.27854599575878
chr2:155834548-155834571	FAM83C	101.55229713806447	290.388783931703
chr17:46125304-46125327	MRPS18A	112.94133980775395	129.42421456132084
chr19:10532840-10532863	CPSF7	149.95572848424476	183.8041366459094
chr9:15292157-15292180	4931406C07RIK	127.1776431448658	216.43208989666257
chr9:123660390-123660413	SLC6A20A	74.97786424212238	197.94291638790244
chr10:76471605-76471628	MCM3AP	87.31599380095264	206.6437039214366
chr18:61005801-61005824	SLC6A7	14.236303337111844	19.57677195045189
chr14:56261140-56261163	GZMB	99.6541233597829	202.29331015466954
chr17:46125307-46125330	MRPS18A	613.11013038495	79.39468624349934
chr5:107914414-107914437	FAM69A	50.301605124461844	132.68700988639614
chr18:10706002-10706025	ABHD3	46.50525756789869	29.365157925677835
chr17:34034136-34034159	RXRB	47.454344457039475	10.875984416917717
chr11:105975593-105975616	ACE	122.43220869916185	116.37303326101957
chr11:120418255-120418278	NPLOC4	93.95960202493816	34.80315013413669
chr15:76723668-76723691	C030006K11RIK	127.1776431448658	154.43897872023157
chr17:90630103-90630126	NRXN1	76.87603802040395	80.4822846851911
chr9:21203434-21203457	PDE4A	357.80575720607766	94.62106442718414
chr11:103080348-103080371	PLCD3	25.62534600680132	15.226378183684803
chr17:74562068-74562091	BIRC6	57.89430023758816	71.78149715165694
chr4:59213932-59213955	UGCG	72.1306035747	10.875984416917717
chr2:90889641-90889664	C1QTNF4	397.6674065499908	418.7254000513321
chr7:104587908-104587931	OLFR654	118.63586114259869	65.2559065015063
chr2:129285343-129285366	CKAP2L	136.66851203627368	114.19783637763602
chr12:112496890-112496913	A530016L24RIK	189.8173778281579	308.87795744046315
chr3:107298055-107298078	SLC16A4	161.34477115393423	119.63582858609489
chr8:84953014-84953037	RTBDN	192.66463849558028	300.17716990692895
chr17:24896852-24896875	NME3	64.53790846157369	11.963582858609488
chr11:106208000-106208023	CCDC47	112.94133980775395	58.73031585135567
chr5:140607615-140607638	LFNG	40.81073623305395	71.78149715165694
chr6:122851146-122851169	C3AR1	273.33702407254736	313.2283512072302
chr13:100633469-100633492	RAD17	275.23519785082897	355.64469043320935
chr13:97194155-97194178	HEXB	43.65799690047632	91.35826910210882
chr15:58205212-58205235	FBXO32	27.523519785082897	6.52559065015063
chr8:70600421-70600444	SSBP4	141.41394648197763	334.9803200410657
chr2:86445817-86445840	OLFR1065	129.07581692314739	119.63582858609489
chr7:49770829-49770852	HTATIP2	177.47924826932766	178.36614443745054
chr5:3972814-3972837	AKAP9	76.87603802040395	57.642717409663895
chr11:70135124-70135147	MGL2	64.53790846157369	84.83267845195819
chr7:103716916-103716939	OLFR243	138.56668581455529	130.5118130030126
chr5:21425412-21425435	FAM185A	37.01438867649079	21.751968833835434
chrX:142189166-142189189	GUCY2F	93.01051513579738	42.416339225979094
chr3:88325680-88325703	0610031J06RIK	92.06142824665659	98.97145819395122
chrX:167244876-167244899	TLR8	179.37742204760923	194.68012106282714
chr15:77389777-77389800	APOL7A	59.79247401586974	192.50492417944358
chr5:93187788-93187811	CCNI	58.84338712672895	8.700787533534173
chr1:58398998-58399021	BZW1	39.86164934391316	78.30708780180755
chr2:140164518-140164541	ESF1	113.89042669689475	191.4173257377518
chr4:132730872-132730895	XKR8	532.4377448079829	466.57973148577
chr7:119819515-119819538	2610020H08RIK	182.22468271503158	182.71653820421764
chr3:135606639-135606662	NFKB1	414.75097055452505	321.9291387407644
chr13:58033230-58033253	KLHL3	127.1776431448658	362.17028108335995
chr18:10706068-10706091	ABHD3	145.2102940385408	213.16929457158724
chr3:53860232-53860255	UFM1	132.87216447971053	102.23425351902654
chr2:113364623-113364646	FMN1	337.87493253412106	324.10433562414795
chrX:44367374-44367397	DCAF12L2	43.65799690047632	41.32874078428733
chr7:128712748-128712771	MCMBP	136.66851203627368	154.43897872023157
chr14:41132807-41132830	SFTPA1	126.22855625572501	352.381895108134
chr2:119292727-119292750	VPS18	51.25069201360264	44.591536109362636
chr13:84272195-84272218	TMEM161B	61.69064779415132	25.014764158910747
chr6:52729416-52729439	TAX1BP1	103.45047091634606	138.125002094855
chr15:34838982-34839005	KCNS2	52.199778902743425	25.014764158910747
chr13:11721805-11721828	RYR2	37.96347556563158	92.44586754380059
chr17:31509885-31509908	WDR4	28.472606674223687	0.0
chr9:48392922-48392945	FAM55D	74.02877735298158	116.37303326101957
chr2:51148280-51148303	RND3	77.82512490954474	81.56988312688287
chr17:28201020-28201043	ZFP523	191.71555160643948	120.72342702778666
chr4:56792094-56792117	IKBKAP	26.574432895942106	0.0
chr2:88224901-88224924	OLFR1170	159.44659737565263	106.58464728579362
chr16:4716405-4716428	NMRAL1	114.83951358603554	114.19783637763602
chr2:117257732-117257755	FAM98B	130.02490381228816	105.49704884410185
chr13:21658897-21658920	OLFR1361	136.66851203627368	106.58464728579362
chr7:4742210-4742233	SUV420H2	77.82512490954474	59.817914293047444
chr6:32215220-32215243	PLXNA4	39.86164934391316	103.3218519607183
chr2:180972126-180972149	ARFGAP1	25.62534600680132	16.313976625376576
chr12:75906706-75906729	SYNE2	175.58107449104605	327.3671309492233
chr17:29568608-29568631	TBC1D22B	120.53403492088027	156.6141756036151
chr19:20621685-20621708	ALDH1A1	143.3121202602592	110.9350410525607
chr13:30906791-30906814	EXOC2	97.75594958150133	11.963582858609488
chr15:77389982-77390005	APOL7A	111.99225291861316	58.73031585135567
chr7:28782824-28782847	SIRT2	64.53790846157369	36.978347017520235
chrX:141613590-141613613	COL4A5	47.454344457039475	157.7017740453069
chr17:47730621-47730644	PGC	27.523519785082897	6.52559065015063
chr1:183089592-183089615	DISP1	126.22855625572501	119.63582858609489
chr5:121578372-121578395	ALDH2	90.163254468375	96.79626131056767
chr9:122368070-122368093	ABHD5	274.28611096168817	395.8858327758049
chr2:29139208-29139231	SETX	69.28334290727764	27.189961042294293
chr4:88683227-88683250	IFNA2	534.3359185862645	715.6397746331858
chrX:66654079-66654102	SLITRK2	370.1438867649079	462.22933771900296
chr8:56039594-56039617	GLRA3	128.12673003400658	88.0954737770335
chr15:34839165-34839188	KCNS2	90.163254468375	137.03740365316324
chr6:57844290-57844313	VMN1R21	99.6541233597829	81.56988312688287
chr10:127741869-127741892	ZBTB39	85.41782002267105	103.3218519607183
chr6:130063120-130063143	KLRA4	417.5982312219474	774.3700904845414
chr7:43409495-43409518	SIGLECG	83.51964624438948	19.57677195045189
chr4:73403056-73403079	GM11487	100.60321024892369	178.36614443745054
chr8:41257883-41257906	PCM1	42.708910011335526	28.277559483986064
chr15:69017428-69017451	KHDRBS3	53.14886579188421	103.3218519607183
chr9:39485092-39485115	OLFR44	608.3646959392461	921.1958801129306
chr14:56261111-56261134	GZMB	294.21693563364477	383.9222499171954
chr13:100783604-100783627	CCNB1	151.85390226252633	105.49704884410185
chr17:62651084-62651107	EFNA5	157.54842359737106	170.75295534560814
chr4:132544720-132544743	DNAJC8	40.81073623305395	6.52559065015063
chr6:135923026-135923049	GRIN2B	78.77421179868553	45.67913455105441
chr11:78403473-78403496	SLC13A2	88.26508069009343	25.014764158910747
chr16:4552009-4552032	TFAP4	199.3082467195658	244.7096493806486
chr2:29130198-29130221	SETX	71.18151668555922	34.80315013413669
chr17:57058104-57058127	SLC25A23	146.15938092768158	109.84744261086894
chr2:164431194-164431217	SDC4	149.00664159510396	229.4832711969638
chr1:63477699-63477722	ADAM23	83.51964624438948	45.67913455105441
chr7:46376888-46376911	MYOD1	43.65799690047632	9.788385975225944
chr17:46301683-46301706	DLK2	78.77421179868553	130.5118130030126
chr2:88864932-88864955	OLFR1206	288.5224142988	616.6683164392346
chr4:115785148-115785171	ATPAF1	39.86164934391316	44.591536109362636
chr4:14756800-14756823	LRRC69	123.38129558830263	243.62205093895685
chr2:84620315-84620338	CTNND1	457.45988056586054	696.0630026827339
chr2:86677192-86677215	OLFR1086	231.57720095035265	276.25000418971
chr2:84616659-84616682	CTNND1	90.163254468375	10.875984416917717
chr11:84878090-84878113	PIGW	41.75982312219474	25.014764158910747
chr9:22424431-22424454	9530077C05RIK	47.454344457039475	38.06594545921201
chr13:11851149-11851172	RYR2	265.74432895942107	214.256893013279
chr18:62657921-62657944	SPINK10	87.31599380095264	184.89173508760118
chr1:121527651-121527674	HTR5B	90.163254468375	53.29232364289681
chr4:15998968-15998991	OSGIN2	121.48312181002106	109.84744261086894
chr16:19407757-19407780	OLFR165	66.43608223985527	54.379922084588586
chr7:86321416-86321439	OLFR308	140.46485959283686	98.97145819395122
chr2:163314323-163314346	TOX2	89.21416757923421	152.26378183684804
chr13:8958562-8958585	IDI2	492.5760954640698	314.315949648922
chr11:99948775-99948798	KRTAP9-5	84.46873313353026	84.83267845195819
chr8:70756042-70756065	RAB3A	52.199778902743425	64.16830805981454
chr5:121645451-121645474	ACAD10	119.58494803173949	118.5482301444031
chr9:39599966-39599989	AW551984	72.1306035747	38.06594545921201
chr12:110813599-110813622	STK30	53.14886579188421	64.16830805981454
chr9:38403315-38403338	OLFR147	221.13724516980398	386.09744680057895
chr2:3348361-3348384	OLAH	79.72329868782631	26.10236260060252
chr4:150087865-150087888	GPR157	49.35251823532106	142.47539586162208
chr15:96434959-96434982	SCAF11	105.34864469462764	110.9350410525607
chr2:150688606-150688629	VSX1	33.21804111992763	4.350393766767087
chr9:32255697-32255720	ARHGAP32	574.1975679301777	795.0344608766851
chr3:14650645-14650668	CAR13	201.20642049784738	181.62893976252587
chr7:6383515-6383538	ZFP28	61.69064779415132	19.57677195045189
chr18:35736085-35736108	TMEM173	146.15938092768158	199.0305148295942
chr1:177743302-177743325	1700016C15RIK	560.9103514822066	542.711622404194
chr10:115372804-115372827	THAP2	194.56281227386185	188.1545304126765
chr11:6339113-6339136	OGDH	78.77421179868553	78.30708780180755
chr7:63919328-63919351	E030018B13RIK	81.6214724661079	157.7017740453069
chr4:96536037-96536060	CYP2J6	76.87603802040395	89.18307221872527
chr1:153874768-153874791	GM5531	125.27946936658422	163.13976625376574
chr18:46928576-46928599	GM949	60.74156090501053	59.817914293047444
chr1:23853476-23853499	SMAP1	163.2429449322158	299.0895714652372
chr9:53592047-53592070	ACAT1	116.73768736431711	247.97244470572394
chr13:23011634-23011657	VMN1R213	338.82401942326186	336.0679184827574
chr16:10966410-10966433	LITAF	417.5982312219474	402.4114234259555
chr14:20577008-20577031	USP54	290.4205880770816	321.9291387407644
chr3:41717746-41717769	SCLT1	123.38129558830263	119.63582858609489
chrX:87419100-87419123	IL1RAPL1	107.24681847290921	172.9281522289917
chr2:31280756-31280779	NCS1	57.89430023758816	16.313976625376576
chrX:107870520-107870543	FAM46D	121.48312181002106	224.04527898850498
chr2:71311523-71311546	SLC25A12	46.50525756789869	53.29232364289681
chr17:46122788-46122811	MRPS18A	276.18428473996977	50.029528317821494
chr12:85608346-85608369	JDP2	111.99225291861316	160.9645693703822
chr2:111564909-111564932	OLFR1295	241.06806984176055	282.7755948398606
chr16:32369389-32369412	UBXN7	101.55229713806447	123.98622235286197
chr5:100883355-100883378	AGPAT9	141.41394648197763	115.28543481932779
chr16:11984981-11985004	SHISA9	74.02877735298158	88.0954737770335
chr17:27720024-27720047	SPDEF	351.1621489820921	352.381895108134
chr7:33744008-33744031	GM12769	158.49751048651186	283.8631932815524
chr4:127312560-127312583	GJA4	96.80686269236054	167.49016002053284
chr12:38835064-38835087	ETV1	71.18151668555922	46.766732992746185
chr7:19386755-19386778	ERCC2	55.99612645930658	138.125002094855
chr5:9435324-9435347	9330182L06RIK	34.16712800906842	96.79626131056767
chr4:44018814-44018837	CLTA	113.89042669689475	122.8986239111702
chrX:107870399-107870422	FAM46D	65.48699535071448	87.00787533534174
chr7:19095267-19095290	SIX5	24.67625911766053	13.05118130030126
chr11:84109965-84109988	TADA2A	68.33425601813684	14.138779741993032
chr7:28732636-28732659	FBXO17	16.134477115393423	0.0
chr7:128712749-128712772	MCMBP	94.90868891407895	67.43110338488984
chr2:44063811-44063834	ARHGAP15	150.90481537338553	170.75295534560814
chr9:119342758-119342781	ACAA1A	130.97399070142896	88.0954737770335
chr18:73970157-73970180	MAPK4	275.23519785082897	382.8346514755036
chr3:26777519-26777542	SPATA16	105.34864469462764	153.3513802785398
chr4:137752632-137752655	ALPL	57.89430023758816	61.993111176430986
chr2:119035256-119035279	RPUSD2	39.86164934391316	125.07382079455374
chr13:98636999-98637022	TMEM174	47.454344457039475	114.19783637763602
chr9:21289252-21289275	CDKN2D	110.09407914033159	229.4832711969638
chr10:28354714-28354737	PTPRK	172.7338138236237	232.74606652203914
chr13:66928282-66928305	MTERFD1	93.95960202493816	140.30019897823854
chr19:5641210-5641233	RELA	41.75982312219474	26.10236260060252
chr5:104337263-104337286	MEPE	38.91256245477237	14.138779741993032
chr17:57055356-57055379	SLC25A23	28.472606674223687	41.32874078428733
chr9:109146643-109146666	FBXW21	198.359159830425	169.66535690391638
chr7:13219753-13219776	VMN1R89	90.163254468375	112.02263949425249
chr3:51664577-51664600	MGST2	205.00276805441055	221.8700821051214
chr1:66853213-66853236	ACADL	162.293858043075	172.9281522289917
chr2:31280755-31280778	NCS1	89.21416757923421	38.06594545921201
chr2:163495756-163495779	R3HDML	94.90868891407895	169.66535690391638
chr2:86677080-86677103	OLFR1086	169.88655315620133	201.20571171297775
chr7:11847108-11847131	VMN1R74	172.7338138236237	303.4399652320043
chr3:10206053-10206076	FABP4	80.67238557696712	43.50393766767087
chr13:112533871-112533894	IL31RA	53.14886579188421	112.02263949425249
chr4:128617336-128617359	TLR12	74.02877735298158	32.62795325075315
chr6:134423940-134423963	BCL2L14	128.12673003400658	187.06693197098474
chr7:92126539-92126562	DLG2	102.50138402720528	112.02263949425249
chr12:8227234-8227257	1110057K04RIK	86.36690691181185	44.591536109362636
chr13:12244549-12244572	MTR	36.06530178735	8.700787533534173
chr10:79891698-79891721	CFD	99.6541233597829	185.97933352929294
chr2:163853972-163853995	KCNK15	139.51577270369606	105.49704884410185
chr2:163828931-163828954	WISP2	79.72329868782631	61.993111176430986
chr10:75589860-75589883	GGT5	485.93248724008424	497.0324878531396
chr18:34845302-34845325	REEP2	72.1306035747	114.19783637763602
chr2:167485307-167485330	SPATA2	228.72994028293027	244.7096493806486
chr16:93685060-93685083	CBR3	205.00276805441055	336.0679184827574
chr9:27052589-27052612	NCAPD3	93.01051513579738	56.55511896797213
chr9:38026271-38026294	OLFR883	225.8826796155079	332.80512315768215
chr17:46220804-46220827	XPO5	83.51964624438948	157.7017740453069
chr4:148051472-148051495	MTHFR	297.0641963010671	298.0019730235454
chr11:6517115-6517138	MYO1G	173.68290071276448	122.8986239111702
chr16:10835271-10835294	A630055G03RIK	64.53790846157369	23.927165717218976
chr6:41446044-41446067	GM10334	87.31599380095264	193.59252262113534
chr5:111419475-111419498	MN1	57.89430023758816	104.40945040241007
chr5:137624286-137624309	FBXO24	57.89430023758816	61.993111176430986
chr15:8117325-8117348	NUP155	92.06142824665659	1.0875984416917717
chr13:23934568-23934591	HIST1H2AA	155.65024981908948	153.3513802785398
chr13:27804995-27805018	PRL2A1	84.46873313353026	142.47539586162208
chr5:145030540-145030563	GM4871	186.02103027159475	328.454729390915
chrX:20907139-20907162	SYN1	120.53403492088027	127.24901767793729
chr15:6458198-6458221	C9	74.97786424212238	114.19783637763602
chr8:70678012-70678035	LSM4	59.79247401586974	21.751968833835434
chr18:10726497-10726520	MIB1	96.80686269236054	94.62106442718414
chr2:26926784-26926807	SURF4	45.556170678757894	91.35826910210882
chr13:23356858-23356881	ZFP322A	46.50525756789869	7.6131890918424014
chr7:17095062-17095085	PSG16	158.49751048651186	180.5413413208341
chr3:62604165-62604188	GPR149	151.85390226252633	90.27067066041705
chr11:97038758-97038781	LRRC46	121.48312181002106	78.30708780180755
chr6:124809556-124809579	SPSB2	85.41782002267105	46.766732992746185
chr7:105482028-105482051	PRKCDBP	60.74156090501053	45.67913455105441
chr1:74471551-74471574	USP37	202.15550738698818	232.74606652203914
chr11:53422806-53422829	LEAP2	151.85390226252633	144.65059274500564
chr19:12674428-12674451	OLFR1442	115.78860047517632	199.0305148295942
chr11:70971798-70971821	RPAIN	208.7991156109737	72.8690955933487
chr8:107392711-107392734	NQO1	102.50138402720528	146.82578962838917
chr8:107057157-107057180	NIP7	137.61759892541448	6.52559065015063
chr5:4008446-4008469	AKAP9	98.70503647064211	117.46063170271134
chr10:75603041-75603064	GGT5	53.14886579188421	16.313976625376576
chr2:120986862-120986885	TMEM62	25.62534600680132	7.6131890918424014
chr12:112972301-112972324	BRF1	188.86829093901713	118.5482301444031
chr13:41656252-41656275	GM5082	265.74432895942107	175.10334911237524
chr17:34242504-34242527	H2-OB	119.58494803173949	72.8690955933487
chr6:28256429-28256452	ZFP800	304.65689141419347	436.1269751184004
chr2:104728160-104728183	DEPDC7	131.92307759056973	185.97933352929294
chr1:151411396-151411419	1200016B10RIK	60.74156090501053	14.138779741993032
chr3:83766919-83766942	SFRP2	179.37742204760923	177.27854599575878
chr14:48250561-48250584	PELI2	97.75594958150133	123.98622235286197
chr9:37918878-37918901	OLFR878	93.95960202493816	101.14665507733477
chr19:10967105-10967128	MS4A10	128.12673003400658	139.21260053654677
chr14:49318948-49318971	SLC35F4	55.04703957016579	142.47539586162208
chr7:108055093-108055116	OLFR479	89.21416757923421	67.43110338488984
chr2:163854080-163854103	KCNK15	23.727172228519738	0.0
chr7:103716786-103716809	OLFR243	116.73768736431711	207.73130236312838
chr17:31648665-31648688	U2AF1	80.67238557696712	0.0
chr18:37342897-37342920	PCDHB7	100.60321024892369	116.37303326101957
chr9:123657436-123657459	SLC6A20A	145.2102940385408	182.71653820421764
chr4:149262716-149262739	KIF1B	85.41782002267105	149.0009865117727
chr14:30519121-30519144	DCP1A	55.99612645930658	77.21948936011579
chr15:98121225-98121248	PFKM	151.85390226252633	179.4537428791423
chr5:97392137-97392160	NAA11	40.81073623305395	47.85433143443795
chr12:75965973-75965996	SYNE2	21.82899845023816	2.1751968833835433
chr11:115897101-115897124	RECQL5	40.81073623305395	33.71555169244492
chr17:24475007-24475030	9930021D14RIK	22.778085339378947	6.52559065015063
chr2:88592053-88592076	OLFR1189	65.48699535071448	60.90551273473921
chr2:154133702-154133725	BPIFA3	358.75484409521846	429.6013844682498
chrX:37218176-37218199	RHOX1	87.31599380095264	100.05905663564299
chr10:118146892-118146915	MDM1	62.63973468329211	121.81102546947842
chr15:8122093-8122116	NUP155	41.75982312219474	0.0
chr2:79906019-79906042	PDE1A	165.14111871049738	221.8700821051214
chr11:102155800-102155823	TMEM101	193.61372538472108	122.8986239111702
chr9:39484791-39484814	OLFR44	98.70503647064211	189.24212885436827
chr14:14120756-14120779	PSMD6	88.26508069009343	0.0
chr10:110764196-110764219	E2F7	111.04316602947237	208.81890080482015
chr13:43376816-43376839	SIRT5	102.50138402720528	132.68700988639614
