Gene	sgRNA	HL60|beta	HL60|z	HL60|p-value	HL60|fdr	HL60|wald-p-value	HL60|wald-fdr	KBM7|beta	KBM7|z	KBM7|p-value	KBM7|fdr	KBM7|wald-p-value	KBM7|wald-fdr
CRNKL1	10	-0.13834	-1.4009	0.531	0.89865	0.16125	0.51217	-0.18827	-1.9066	0.487	0.72296	0.056569	0.18542
CSE1L	10	0.035952	0.22018	0.704	0.94921	0.82573	0.94644	-0.32266	-1.9739	0.17	0.45822	0.048397	0.16863
CSNK1G2	10	0.033605	0.31218	0.715	0.94921	0.7549	0.92338	0.36942	3.4331	0.013	0.11504	0.00059668	0.0071033
CSNK2A1	10	0.291	2.0313	0.049	0.43363	0.042222	0.29321	-0.14716	-1.0269	0.617	0.81614	0.30446	0.50733
CSNK2A2	10	0.63666	3.4816	0.001	0.033333	0.0004984	0.039723	0.13678	0.74724	0.314	0.61598	0.45492	0.63803
CSTF2	10	-0.060951	-0.34189	0.865	0.96218	0.73244	0.90882	-0.21501	-1.2058	0.405	0.67276	0.22791	0.43098
CTC1	10	-0.22139	-1.5285	0.288	0.76562	0.12638	0.46727	-0.41054	-2.8338	0.095	0.34545	0.0045997	0.034585
CTCFL	10	0.052471	0.55516	0.636	0.94428	0.57878	0.84617	0.048533	0.51352	0.582	0.78755	0.60759	0.74897
CTDNEP1	10	0.041303	0.32047	0.677	0.9478	0.74861	0.9208	0.10096	0.78375	0.411	0.67934	0.43319	0.619
CTR9	10	-0.15806	-1.0973	0.458	0.87571	0.27251	0.63875	-0.35268	-2.4474	0.136	0.41018	0.014388	0.078593
CUTC	10	0.10294	0.86747	0.405	0.82992	0.38568	0.74474	0.029362	0.24744	0.686	0.86289	0.80457	0.89596
DACT1	10	-0.12153	-0.90089	0.596	0.9375	0.36765	0.73221	-0.019115	-0.14183	0.878	0.95022	0.88721	0.93885
DAG1	10	-0.14241	-1.2966	0.518	0.8931	0.19477	0.56069	-0.11938	-1.0874	0.725	0.86826	0.27687	0.47984
DAXX	10	0.10613	0.6464	0.396	0.82708	0.51802	0.81453	-0.25284	-1.539	0.306	0.60714	0.12381	0.30051
DCAF17	10	0.40534	2.4673	0.007	0.15556	0.013615	0.20321	0.2113	1.286	0.146	0.42075	0.19845	0.39531
DCLRE1A	10	0.048053	0.40924	0.657	0.94676	0.68237	0.8972	0.31579	2.6906	0.038	0.22674	0.0071319	0.04692
DDX4	10	0.068054	0.75723	0.556	0.91901	0.44891	0.78756	0.088547	0.9853	0.444	0.70142	0.32448	0.52504
DGCR14	10	-0.18033	-1.0418	0.386	0.81953	0.29751	0.65395	-0.51391	-2.9641	0.041	0.23164	0.0030356	0.025088
DGCR8	10	-0.0039307	-0.034106	0.884	0.96638	0.97279	0.98991	-0.43781	-3.7981	0.078	0.32016	0.00014581	0.0021763
DHX38	10	-0.19587	-1.2056	0.342	0.79128	0.22798	0.5937	-0.51091	-3.144	0.041	0.23164	0.0016664	0.017004
DIP2A	10	-0.26125	-1.4715	0.204	0.67327	0.14115	0.48175	-0.28485	-1.6048	0.239	0.53452	0.10854	0.27698
DMBX1	10	0.049219	0.47928	0.65	0.94614	0.63174	0.87029	0.21855	2.1288	0.135	0.40909	0.033272	0.13525
DMC1	10	-0.24316	-1.0481	0.243	0.72836	0.29457	0.65395	0.47536	2.0517	0.004	0.056338	0.040196	0.15226
DMRT1	10	0.063686	0.52062	0.58	0.93248	0.60263	0.85536	0.26068	2.1317	0.077	0.32016	0.033029	0.13481
DMRT3	10	0.19002	1.6976	0.165	0.62642	0.089579	0.41937	-0.07332	-0.65488	0.905	0.95464	0.51254	0.68833
DMRTA1	10	0.18472	1.5299	0.179	0.65455	0.12605	0.46727	-0.17609	-1.4579	0.527	0.75286	0.14487	0.33095
DMRTC2	10	0.01715	0.12502	0.791	0.94921	0.90051	0.97431	0.01095	0.079844	0.757	0.88863	0.93636	0.96713
DNA2	10	-0.37004	-1.9863	0.058	0.46774	0.046995	0.30646	-0.87667	-4.6902	0.002	0.034483	2.7288e-06	8.5274e-05
DNAAF1	10	0.03912	0.21946	0.689	0.9478	0.82629	0.94644	-0.039816	-0.22336	0.962	0.97467	0.82325	0.90467
DNTTIP1	10	-0.48236	-2.4007	0.011	0.2	0.016363	0.21639	-0.78124	-3.8768	0.003	0.04918	0.00010583	0.0017638
DPP3	10	-0.005958	-0.046392	0.889	0.96638	0.963	0.9887	-0.074016	-0.57633	0.898	0.95127	0.56439	0.72358
DPPA4	10	0.21433	1.7395	0.135	0.59912	0.081949	0.39975	0.2268	1.841	0.121	0.38907	0.065624	0.20352
DPRX	10	0.062327	0.27481	0.593	0.9375	0.78346	0.92972	0.14663	0.64771	0.289	0.591	0.51717	0.69096
DRG1	10	-0.26178	-1.3506	0.202	0.67327	0.17682	0.53582	-0.074085	-0.38243	0.898	0.95127	0.70214	0.82898
DTL	10	-0.23541	-1.0003	0.256	0.73563	0.31717	0.67977	-0.55957	-2.3708	0.029	0.18954	0.01775	0.091656
DTNBP1	10	-0.24695	-1.9271	0.233	0.71472	0.053966	0.3251	0.15455	1.2101	0.256	0.55411	0.22626	0.43098
DTX1	10	-0.069409	-0.56345	0.825	0.94921	0.57313	0.84408	0.068842	0.55985	0.516	0.74459	0.57558	0.73043
DTX2	10	0.012487	0.12414	0.811	0.94921	0.90121	0.97431	0.17131	1.7031	0.216	0.51905	0.088545	0.25226
DUSP11	10	-0.10933	-0.90311	0.649	0.94614	0.36647	0.73221	0.073302	0.6061	0.498	0.73235	0.54445	0.70799
DUSP12	10	-0.051672	-0.37485	0.908	0.97647	0.70778	0.90029	-0.27262	-1.977	0.263	0.55932	0.048045	0.16858
DUSP22	10	-0.071695	-0.72991	0.816	0.94921	0.46545	0.797	-0.21897	-2.2292	0.394	0.6661	0.025803	0.11571
DUSP7	10	0.27194	2.0572	0.069	0.5035	0.039667	0.28908	0.12358	0.93488	0.351	0.6413	0.34985	0.54836
DUT	10	-0.52374	-2.3797	0.006	0.13953	0.017328	0.21639	-0.87208	-3.9542	0.002	0.034483	7.6781e-05	0.001396
DYRK1B	10	0.27158	1.424	0.069	0.5035	0.15444	0.50445	0.060039	0.31442	0.536	0.75706	0.7532	0.86522
DYRK2	10	0.2552	2.1387	0.083	0.5375	0.032458	0.26767	0.33061	2.7709	0.027	0.17881	0.00559	0.039645
E2F4	10	-0.024197	-0.2408	0.964	0.98669	0.80971	0.94449	-0.21853	-2.1746	0.395	0.6661	0.029661	0.12676
EBF1	10	0.0049539	0.050811	0.844	0.94949	0.95948	0.98707	-0.059404	-0.60929	0.959	0.97467	0.54233	0.70799
EBF4	10	0.074102	0.51816	0.529	0.89813	0.60435	0.85536	-0.023848	-0.16675	0.891	0.95091	0.86756	0.93014
EDNRB	10	0.17554	1.4081	0.199	0.67003	0.1591	0.51217	0.31224	2.5059	0.039	0.22674	0.012213	0.069789
EED	10	-0.096027	-0.5836	0.709	0.94921	0.55949	0.83647	-0.14759	-0.89718	0.616	0.81614	0.36962	0.5669
EFNB1	10	0.23607	1.8997	0.104	0.57459	0.057469	0.33607	0.35111	2.8262	0.018	0.13139	0.0047106	0.034862
EGFR	10	0.2558	1.5197	0.082	0.5375	0.12859	0.46888	0.28439	1.6909	0.054	0.26471	0.090859	0.25522
EID2B	10	0.17195	0.92266	0.204	0.67327	0.35619	0.72396	0.12827	0.68839	0.34	0.63433	0.49121	0.67105
EIF2AK4	10	0.18059	1.5793	0.188	0.65505	0.11427	0.45421	-0.18674	-1.6323	0.49	0.72485	0.10263	0.27294
EIF4A3	10	-0.76994	-3.5209	0	0	0.00043012	0.039101	-1.2319	-5.6095	0	0	2.0291e-08	1.1273e-06
EIF4E	10	-0.38043	-2.1256	0.052	0.43802	0.033539	0.2704	-0.47349	-2.6454	0.059	0.2757	0.0081593	0.051641
EIF4G3	10	0.2224	2.215	0.123	0.59524	0.026758	0.24851	0.13268	1.3214	0.326	0.61742	0.18636	0.38063
ELAC1	10	0.3353	2.451	0.02	0.27273	0.014246	0.20763	-0.0095211	-0.069569	0.837	0.93326	0.94454	0.97075
ELF4	10	0.014485	0.1161	0.805	0.94921	0.90757	0.97431	0.094995	0.76163	0.432	0.6944	0.44628	0.63123
ELK1	10	0.046979	0.36477	0.658	0.94676	0.71528	0.90029	0.1285	0.99849	0.34	0.63433	0.31804	0.51956
ELK3	10	0.08586	0.86904	0.473	0.88246	0.38482	0.74474	0.024289	0.24585	0.699	0.86543	0.8058	0.89632
ELK4	10	0.31328	2.3873	0.033	0.34737	0.016973	0.21639	0.30351	2.3136	0.043	0.23889	0.020692	0.1018
EMX2	10	0.19712	1.7885	0.155	0.625	0.073699	0.37794	0.21755	1.9751	0.135	0.40909	0.04826	0.16863
EN2	10	0.10157	0.54358	0.412	0.8374	0.58673	0.8491	0.37403	2.0038	0.013	0.11504	0.045093	0.16221
ENC1	10	0.04865	0.46032	0.651	0.94622	0.64529	0.87794	0.020287	0.19197	0.712	0.86826	0.84776	0.91697
EPB49	10	-0.12254	-1.3269	0.59	0.93651	0.18453	0.54376	0.18707	2.0303	0.185	0.47927	0.042331	0.15449
EPHB2	10	0.30578	1.8384	0.038	0.38	0.066005	0.36609	0.49658	2.9871	0.003	0.04918	0.0028168	0.023871
EPHX2	10	0.20033	1.7912	0.152	0.62041	0.073263	0.37765	0.16968	1.5172	0.219	0.52019	0.12921	0.30681
EPN1	10	0.25847	1.6631	0.078	0.53061	0.096291	0.43432	0.023863	0.15346	0.7	0.86543	0.87804	0.93508
EPS15L1	10	0.21971	0.9005	0.125	0.59524	0.36785	0.73221	0.22727	0.93176	0.12	0.3871	0.35146	0.55002
ERBB2IP	10	0.18974	1.4909	0.166	0.62642	0.13598	0.47723	-0.037698	-0.29618	0.953	0.97467	0.76709	0.87368
ERN2	10	0.11555	1.003	0.365	0.80931	0.31587	0.6793	0.12198	1.0588	0.354	0.6413	0.28967	0.4924
ESF1	10	-0.057238	-0.35601	0.879	0.96638	0.72183	0.90342	-0.23121	-1.4378	0.356	0.64324	0.15049	0.33742
ESR1	10	0.11444	0.9512	0.368	0.80963	0.3415	0.70412	0.08105	0.67367	0.474	0.71601	0.50052	0.68246
ETHE1	10	-0.055733	-0.3691	0.885	0.96638	0.71205	0.90029	0.13256	0.87856	0.326	0.61742	0.37964	0.57174
EWSR1	10	-0.28606	-1.8808	0.162	0.62642	0.060004	0.34685	-0.71419	-4.6933	0.006	0.08	2.6884e-06	8.5274e-05
EXOSC9	10	-0.18256	-0.67119	0.378	0.81624	0.5021	0.80002	-0.24635	-0.90586	0.324	0.61742	0.36501	0.56155
FAM105B	10	0.15171	1.1071	0.251	0.73487	0.26827	0.63722	0.28329	2.0683	0.055	0.2657	0.038609	0.14848
FAM110A	10	0.064203	0.5751	0.579	0.93237	0.56523	0.83986	0.087204	0.78157	0.449	0.70312	0.43447	0.619
FAM118A	10	0.020044	0.17597	0.784	0.94921	0.86032	0.96092	0.18298	1.6067	0.195	0.49118	0.10812	0.27698
FAM127B	10	0.21239	1.818	0.135	0.59912	0.069069	0.37306	0.21038	1.801	0.146	0.42075	0.071708	0.21664
FAM134A	10	0.1293	0.87092	0.318	0.78417	0.3838	0.74474	0.1956	1.3176	0.168	0.45652	0.18764	0.38215
FAM13C	10	-0.041221	-0.31474	0.954	0.98351	0.75296	0.92338	-0.076691	-0.58578	0.884	0.95075	0.55802	0.71772
FAM171B	10	-0.17059	-1.2295	0.417	0.84584	0.21888	0.58866	-0.16852	-1.2147	0.553	0.77451	0.22448	0.43003
FAM172A	10	0.34921	2.0476	0.016	0.25397	0.040598	0.29095	0.35627	2.0892	0.016	0.12598	0.036688	0.14444
FAM177B	10	0.22345	1.4785	0.12	0.59524	0.13927	0.47903	0.049149	0.32514	0.58	0.78755	0.74508	0.86229
FAM178A	10	-0.0070512	-0.055077	0.891	0.96638	0.95608	0.98707	-0.10317	-0.80586	0.784	0.90846	0.42032	0.60864
FAM181A	10	0.016265	0.12749	0.797	0.94921	0.89855	0.97431	0.23177	1.8187	0.113	0.37793	0.068959	0.2109
FAM184A	10	-0.2025	-1.5737	0.326	0.78417	0.11556	0.45579	0.22798	1.7731	0.12	0.3871	0.076218	0.22684
FAM185A	10	0.18725	1.2733	0.169	0.62825	0.20291	0.57183	0.23952	1.6291	0.102	0.35664	0.1033	0.27392
FAM188B	10	-0.013095	-0.10601	0.924	0.97884	0.91558	0.97769	-0.14191	-1.1487	0.628	0.8233	0.25067	0.45484
FAM189A2	10	0.23142	1.478	0.111	0.58031	0.1394	0.47903	0.24796	1.5837	0.088	0.3346	0.11326	0.28405
FAM189B	10	-0.1946	-1.2076	0.345	0.79128	0.2272	0.5937	-0.31643	-1.9632	0.18	0.47368	0.049628	0.17113
FAM194B	10	0.041839	0.25235	0.677	0.9478	0.80077	0.94026	0.20636	1.2455	0.15	0.42735	0.21294	0.41392
FAM196A	10	0.10736	0.7098	0.394	0.82708	0.47783	0.79809	0.37716	2.5021	0.013	0.11504	0.012345	0.069844
FAM196B	10	0.14151	0.99524	0.28	0.75881	0.31962	0.68085	0.18349	1.2913	0.194	0.49118	0.19661	0.39408
FAM19A3	10	0.10554	1.1453	0.397	0.82708	0.25211	0.62422	0.18438	2.0009	0.192	0.48855	0.045408	0.16275
FAM19A5	10	0.093075	0.5376	0.448	0.86654	0.59086	0.85362	0.16521	0.95488	0.229	0.5338	0.33964	0.5374
FAM204A	10	0.13649	0.67401	0.295	0.7659	0.50031	0.80002	-0.093547	-0.46092	0.821	0.93251	0.64485	0.77881
FAM206A	10	0.063326	0.50933	0.582	0.93269	0.61052	0.85728	0.14099	1.1343	0.305	0.60714	0.25666	0.45914
FAM217B	10	0.13031	0.7614	0.316	0.78417	0.44642	0.78511	0.24178	1.4129	0.098	0.35252	0.15769	0.34355
FAM229A	10	0.16662	1.1561	0.217	0.68454	0.24763	0.61722	0.078196	0.54257	0.482	0.72048	0.58743	0.73793
FAM229B	10	-0.070233	-0.54454	0.821	0.94921	0.58607	0.8491	0.18034	1.3991	0.202	0.50124	0.16178	0.35078
FAM3D	10	-0.11167	-1.2308	0.642	0.94428	0.2184	0.58866	-0.0099211	-0.10937	0.838	0.93326	0.91291	0.95894
FAM49A	10	0.04931	0.40685	0.65	0.94614	0.68412	0.8972	0.29211	2.4114	0.048	0.24615	0.015892	0.085106
FAM5C	10	-0.08146	-0.68782	0.774	0.94921	0.49157	0.80002	-0.024472	-0.20676	0.894	0.95106	0.8362	0.9126
FAM71C	10	0.068265	0.57511	0.555	0.91901	0.56522	0.83986	0.08436	0.71081	0.459	0.70661	0.4772	0.66003
FAM83B	10	-0.27043	-2.0993	0.187	0.65505	0.035792	0.27515	0.21833	1.6966	0.135	0.40909	0.089772	0.25359
FAM84B	10	0.26433	1.5859	0.072	0.5035	0.11277	0.45414	0.2686	1.612	0.074	0.32016	0.10696	0.27698
FAM86A	10	0.098105	0.8068	0.428	0.85429	0.41978	0.77667	0.10348	0.8511	0.4	0.66889	0.39471	0.58913
FAM90A1	10	0.026846	0.26007	0.747	0.94921	0.79481	0.93839	-0.058452	-0.56623	0.961	0.97467	0.57123	0.72929
FANCI	10	0.099409	0.6918	0.426	0.852	0.48906	0.80002	-0.066083	-0.45981	0.924	0.95855	0.64565	0.77883
FBXO25	10	0.077051	0.48679	0.516	0.8931	0.62641	0.8664	-0.04763	-0.30085	0.998	0.998	0.76353	0.87062
FBXO31	10	-0.15545	-1.6215	0.466	0.87594	0.10491	0.44081	0.027838	0.29045	0.69	0.86358	0.77147	0.87515
FBXO3	10	-0.068868	-0.40474	0.827	0.94921	0.68567	0.8972	-0.11115	-0.6534	0.757	0.88863	0.5135	0.68833
FKBP3	10	-0.032526	-0.27307	0.997	0.999	0.7848	0.92985	0.18042	1.515	0.202	0.50124	0.12978	0.30681
FLI1	10	0.027077	0.23123	0.746	0.94921	0.81713	0.94449	0.12041	1.0284	0.357	0.64324	0.30378	0.50733
FLII	10	-0.3054	-1.9628	0.124	0.59524	0.049666	0.31041	-0.54124	-3.4777	0.034	0.21384	0.00050567	0.0062429
FOPNL	10	0.09218	0.9133	0.449	0.8668	0.36108	0.72866	0.23652	2.3443	0.104	0.35986	0.019063	0.096028
FOXA3	10	0.15767	0.88004	0.238	0.7234	0.37884	0.74474	0.056161	0.31343	0.553	0.77451	0.75396	0.86522
FOXO4	10	-0.049105	-0.39418	0.916	0.97759	0.69344	0.89885	0.098802	0.7934	0.418	0.68301	0.42754	0.61522
FYB	10	-0.12575	-1.0174	0.575	0.92892	0.30899	0.6688	0.14903	1.2074	0.279	0.57764	0.22728	0.43098
GBX2	10	0.33219	1.9143	0.021	0.27273	0.055581	0.33282	0.050352	0.28944	0.578	0.78755	0.77225	0.87515
GCH1	10	0.12759	1.0534	0.327	0.78417	0.29214	0.65395	0.11725	0.96818	0.366	0.65018	0.33296	0.53103
GCK	10	0.070377	0.52804	0.546	0.91457	0.59747	0.85536	0.037784	0.28351	0.637	0.83051	0.77679	0.87642
GEMIN7	10	-0.023304	-0.17394	0.96	0.98665	0.86192	0.96092	-0.039294	-0.29332	0.961	0.97467	0.76928	0.87515
GHDC	10	0.1293	1.0498	0.318	0.78417	0.29379	0.65395	0.15886	1.29	0.246	0.54305	0.19706	0.39408
GHRHR	10	-0.012778	-0.1166	0.923	0.97884	0.90718	0.97431	0.15135	1.3816	0.269	0.56513	0.16709	0.35565
GLE1	10	-0.45549	-3.0478	0.019	0.26761	0.0023056	0.068562	-0.60692	-4.0606	0.013	0.11504	4.8945e-05	0.00097306
GLTSCR2	10	-0.15388	-0.77628	0.472	0.88224	0.43758	0.78001	-0.74132	-3.7221	0.004	0.056338	0.00019755	0.002863
GML	10	0.024485	0.23412	0.761	0.94921	0.81489	0.94449	0.10456	0.99992	0.395	0.6661	0.31735	0.51956
GNL2	10	-0.27228	-1.5685	0.186	0.65493	0.11676	0.45579	-0.60971	-3.5093	0.013	0.11504	0.00044929	0.0057602
GNL3L	10	0.09363	0.53534	0.446	0.86654	0.59241	0.85362	0.04032	0.23059	0.629	0.8233	0.81764	0.90447
GOLGA2	10	-0.046575	-0.36302	0.929	0.98115	0.71659	0.90029	-0.071015	-0.5536	0.912	0.95507	0.57985	0.73399
GON4L	10	0.055184	0.43313	0.622	0.94428	0.66492	0.89132	0.34617	2.7178	0.018	0.13139	0.0065709	0.04403
GPKOW	10	-0.58764	-3.3062	0.001	0.033333	0.00094574	0.045035	-0.38903	-2.1896	0.11	0.36913	0.028556	0.1247
GPS1	10	-0.2272	-1.3523	0.27	0.74387	0.17627	0.53582	-0.68887	-4.0986	0.008	0.096386	4.1563e-05	0.00087069
GRHL3	10	0.05354	0.44913	0.631	0.94428	0.65333	0.88288	0.10262	0.86097	0.402	0.66889	0.38925	0.58359
GRK1	10	0.1912	1.2769	0.163	0.62642	0.20163	0.5712	0.20555	1.3729	0.152	0.42817	0.16979	0.3582
GTF2F2	10	-0.27133	-1.5172	0.186	0.65493	0.12921	0.46888	-0.16356	-0.91551	0.568	0.78562	0.35992	0.55629
GTF3C1	10	-0.76094	-3.3594	0	0	0.00078106	0.042946	-1.4408	-6.3359	0	0	2.3603e-10	2.6226e-08
GTF3C4	10	-0.28547	-1.6268	0.164	0.62642	0.10377	0.43786	-0.25695	-1.4651	0.299	0.60282	0.14289	0.32902
GTF3C6	10	-0.28128	-1.4538	0.169	0.62825	0.14602	0.49003	-0.19719	-1.0209	0.46	0.70661	0.3073	0.50815
GTPBP3	10	-0.27405	-1.8153	0.184	0.65493	0.069482	0.37306	-0.2197	-1.4564	0.391	0.6661	0.14529	0.33095
GTPBP4	10	-0.63901	-2.7708	0	0	0.0055911	0.12957	-1.2053	-5.2	0	0	1.9932e-07	7.9729e-06
GTPBP8	10	-0.063226	-0.36881	0.855	0.95536	0.71227	0.90029	-0.54166	-3.1541	0.034	0.21384	0.0016098	0.016596
GZMB	10	-0.039615	-0.22783	0.962	0.98667	0.81978	0.94449	-0.070918	-0.408	0.912	0.95507	0.68327	0.81245
HAUS1	10	-0.60767	-3.0762	0	0	0.0020965	0.068562	-0.75209	-3.8064	0.004	0.056338	0.000141	0.0021763
HAUS6	10	-0.09441	-0.51653	0.717	0.94921	0.60549	0.85536	0.12249	0.67073	0.353	0.6413	0.50239	0.68246
HCFC2	10	-0.040579	-0.23007	0.958	0.98661	0.81804	0.94449	0.3565	2.022	0.016	0.12598	0.043177	0.15701
HDGFRP3	10	0.019906	0.17144	0.785	0.94921	0.86388	0.96093	-0.12879	-1.1089	0.674	0.85316	0.26746	0.47006
HDGF	10	-0.023486	-0.28221	0.961	0.98665	0.77778	0.92968	-0.055899	-0.67171	0.968	0.97976	0.50177	0.68246
HEATR1	10	-0.81998	-2.6423	0	0	0.0082335	0.1497	-1.211	-3.892	0	0	9.9441e-05	0.0016854
HELT	10	0.19915	1.1213	0.152	0.62041	0.26215	0.62996	-0.04216	-0.2373	0.975	0.98485	0.81242	0.90072
HELZ2	10	-0.11654	-0.77633	0.621	0.94428	0.43755	0.78001	0.24058	1.6068	0.101	0.35664	0.10809	0.27698
HEPACAM	10	0.023025	0.21256	0.768	0.94921	0.83167	0.94939	-0.091377	-0.8435	0.828	0.93251	0.39895	0.59377
HES2	10	0.23852	1.3386	0.103	0.57459	0.18069	0.53777	0.16195	0.90891	0.237	0.53452	0.3634	0.55993
HINT1	10	0.051278	0.35234	0.639	0.94428	0.72458	0.90347	0.2637	1.8133	0.077	0.32016	0.069791	0.21149
HIST2H2AB	10	-0.051796	-0.29783	0.905	0.97627	0.76583	0.92899	-0.29427	-1.691	0.224	0.52706	0.090846	0.25522
HMGN3	10	0.080752	0.65327	0.502	0.89007	0.51358	0.81007	0.10109	0.81802	0.409	0.67828	0.41335	0.60786
HMX3	10	0.21125	1.1045	0.136	0.59912	0.26936	0.6383	-0.09764	-0.50977	0.803	0.91982	0.61021	0.75057
HNRNPA2B1	10	-0.23121	-1.2695	0.264	0.74095	0.20425	0.57345	-1.0531	-5.7569	0	0	8.566e-09	5.7106e-07
HNRNPAB	10	-0.22604	-2.349	0.271	0.74387	0.018822	0.21639	-0.15712	-1.6334	0.581	0.78755	0.10239	0.27294
HNRNPK	10	-0.52559	-2.5191	0.006	0.13953	0.011767	0.18386	-1.2834	-6.1399	0	0	8.2565e-10	6.8804e-08
HNRNPU	10	-0.35665	-1.7465	0.068	0.5035	0.080726	0.39793	-0.77879	-3.8046	0.003	0.04918	0.00014202	0.0021763
HNRPDL	10	-0.12937	-0.87742	0.561	0.9227	0.38026	0.74474	-0.25947	-1.7598	0.29	0.59184	0.078445	0.22937
HORMAD2	10	0.044854	0.28283	0.667	0.9478	0.77731	0.92968	0.18754	1.1831	0.184	0.47917	0.23677	0.43928
HOXA13	10	0.012055	0.11615	0.814	0.94921	0.90753	0.97431	0.034427	0.33173	0.653	0.83504	0.74009	0.85858
HOXC6	10	0.13863	0.81816	0.294	0.76562	0.41326	0.76958	0.22493	1.3289	0.127	0.40062	0.18389	0.3769
HP1BP3	10	-0.087322	-0.79331	0.75	0.94921	0.4276	0.77667	0.16418	1.492	0.231	0.53452	0.1357	0.31705
HSF5	10	-0.0057256	-0.051915	0.889	0.96638	0.9586	0.98707	0.045589	0.41343	0.59	0.79408	0.67929	0.80964
HSPA2	10	0.026328	0.23258	0.748	0.94921	0.81609	0.94449	0.25865	2.2853	0.08	0.32016	0.022294	0.10541
HTRA2	10	0.11414	0.76089	0.37	0.80963	0.44673	0.78511	0.22606	1.5075	0.125	0.39557	0.13168	0.30984
HYLS1	10	-0.044679	-0.35317	0.939	0.98222	0.72396	0.90347	0.13668	1.0807	0.315	0.61598	0.27983	0.48163
IARS	10	-0.94382	-3.3857	0	0	0.00070999	0.042946	-1.6211	-5.7335	0	0	9.8373e-09	6.1483e-07
ID2	10	0.11148	0.91828	0.378	0.81624	0.35847	0.72566	0.21629	1.7824	0.137	0.41018	0.074688	0.22398
ID3	10	0.055324	0.28583	0.622	0.94428	0.77501	0.92968	0.12565	0.64943	0.344	0.63586	0.51606	0.69084
ID4	10	0.20184	1.3602	0.149	0.62041	0.17376	0.53239	0.33253	2.2413	0.027	0.17881	0.025006	0.11366
IGF2BP1	10	-0.16262	-1.5456	0.445	0.86654	0.12221	0.46727	0.015919	0.15139	0.729	0.86993	0.87967	0.93553
IKZF2	10	0.1062	0.62243	0.396	0.82708	0.53366	0.82355	-0.94287	-5.4993	0.002	0.034483	3.8124e-08	2.0065e-06
IL12A	10	0.31584	1.7626	0.031	0.34409	0.077966	0.39377	0.29509	1.6474	0.046	0.24084	0.099479	0.26923
IL15RA	10	0.033651	0.21009	0.714	0.94921	0.8336	0.94972	0.25794	1.6116	0.08	0.32016	0.10706	0.27698
IMPA1	10	0.20077	0.97571	0.152	0.62041	0.32921	0.69017	0.25918	1.2614	0.079	0.32016	0.20715	0.40858
IMPDH1	10	-0.14386	-1.4061	0.51	0.8931	0.15971	0.51217	0.14204	1.389	0.304	0.60714	0.16482	0.35446
ING3	10	-0.20101	-1.0968	0.331	0.78723	0.27275	0.63875	-0.54349	-2.9597	0.033	0.21019	0.0030791	0.025239
ING4	10	0.12031	1.1445	0.345	0.79128	0.2524	0.62422	0.10594	1.0079	0.392	0.6661	0.3135	0.51648
INHBA	10	0.016575	0.14234	0.795	0.94921	0.88682	0.97339	-0.0074146	-0.063676	0.829	0.93251	0.94923	0.97257
INO80D	10	0.025598	0.17267	0.753	0.94921	0.86291	0.96092	0.18508	1.2496	0.188	0.48205	0.21146	0.41382
INSC	10	0.14319	1.5475	0.273	0.74387	0.12175	0.46727	0.10355	1.1191	0.4	0.66889	0.2631	0.46671
INSR	10	0.11485	0.9554	0.368	0.80963	0.33938	0.70264	0.17179	1.4294	0.215	0.51905	0.1529	0.33972
IPMK	10	-0.38357	-2.449	0.05	0.43802	0.014326	0.20763	-0.50598	-3.2303	0.042	0.23464	0.0012365	0.013241
IPO8	10	-0.0028274	-0.02785	0.879	0.96638	0.97778	0.99066	-0.13882	-1.3673	0.642	0.83312	0.17153	0.36111
IRF2BPL	10	0.1162	1.0418	0.362	0.80624	0.29752	0.65395	0.054322	0.48704	0.561	0.78025	0.62623	0.76091
IRF9	10	-0.032814	-0.27572	0.995	0.999	0.78276	0.92972	-0.0024986	-0.021007	0.813	0.92808	0.98324	0.99821
ISL1	10	0.052468	0.36226	0.636	0.94428	0.71715	0.90029	0.28325	1.9585	0.055	0.2657	0.050166	0.17145
ISX	10	0.032242	0.29383	0.719	0.94921	0.76888	0.92968	0.072112	0.65726	0.504	0.73684	0.51101	0.68833
ISY1	10	-0.22834	-1.3972	0.267	0.74167	0.16235	0.51217	-0.43913	-2.6867	0.078	0.32016	0.0072169	0.047169
ITGAM	10	-0.016655	-0.11934	0.937	0.98115	0.90501	0.97431	-0.016236	-0.11636	0.861	0.93893	0.90737	0.95481
ITGB1BP1	10	-0.18611	-1.3972	0.37	0.80963	0.16236	0.51217	0.25021	1.8824	0.085	0.32946	0.059781	0.19161
JAK3	10	0.35837	2.67	0.012	0.21429	0.007585	0.1468	0.19175	1.4283	0.175	0.46667	0.15322	0.33972
JDP2	10	0.21584	1.6327	0.133	0.59912	0.10252	0.43786	0.15935	1.2056	0.243	0.5388	0.22799	0.43098
JUP	10	0.095414	0.9116	0.436	0.86166	0.36198	0.72866	-0.010447	-0.099806	0.839	0.93326	0.9205	0.9626
KANK1	10	-0.087996	-0.43902	0.745	0.94921	0.66065	0.88916	-0.075754	-0.37847	0.887	0.95075	0.70508	0.83048
KAT6A	10	0.024181	0.12413	0.764	0.94921	0.90121	0.97431	-0.51824	-2.6589	0.038	0.22674	0.0078398	0.050299
KDM3A	10	-0.029914	-0.27719	0.992	0.99799	0.78163	0.92972	-0.024292	-0.22511	0.894	0.95106	0.82189	0.90467
